,address,city,cuisines,latitude,longitude,name,postalcode,websites
2141,1950 Westminster St,Providence,Mexican Restaurants,41.81672,-71.442535,La Lupita,2909,http://lalupitamex.com
2142,1950 Westminster St,Providence,Mexican Restaurants,41.81672,-71.442535,La Lupita,2909,http://lalupitamex.com
2147,2407 N Main St,Anderson,Mexican Restaurants,34.52794,-82.6600489,El Arriero Mexican Restaurant,29621,http://elarrieromexicano.com
2171,6820 Cantrell Rd,Little Rock,"Mexican,Latin American Restaurants",34.768651,-92.35030017,Casa Manana,72207,http://www.casamananamexicanfood.com
2172,6820 Cantrell Rd,Little Rock,"Mexican,Latin American Restaurants",34.768651,-92.35030017,Casa Manana,72207,http://www.casamananamexicanfood.com
2173,6820 Cantrell Rd,Little Rock,"Mexican,Latin American Restaurants",34.768651,-92.35030017,Casa Manana,72207,http://www.casamananamexicanfood.com
2174,6820 Cantrell Rd,Little Rock,"Mexican,Latin American Restaurants",34.768651,-92.35030017,Casa Manana,72207,http://www.casamananamexicanfood.com
2175,6820 Cantrell Rd,Little Rock,"Mexican,Latin American Restaurants",34.768651,-92.35030017,Casa Manana,72207,http://www.casamananamexicanfood.com
2231,533 E River St,Kankakee,Mexican Restaurants,41.113503,-87.860565,Dos Amigos,60901,http://www.fowlerpest.com
2232,533 E River St,Kankakee,Mexican Restaurants,41.113503,-87.860565,Dos Amigos,60901,http://www.fowlerpest.com
2238,6035 Stellhorn Rd,Fort Wayne,Mexican,41.121341279,-85.065350877,Casa Grande,46815,http://www.casagrande.net
2279,8090 E Quincy Ave,Denver,Latin American Restaurants,39.638158788,-104.895340011,La Fogata,80237,"http://la-fogata.com,http://www.la-fogata.com"
2280,2448 Rt 30,Oswego,Mexican,41.718008264,-88.316800884,Arandas Tacos,60543-8974,http://arandastacos.com
2281,2448 Rt 30,Oswego,Mexican,41.718008264,-88.316800884,Arandas Tacos,60543-8974,http://arandastacos.com
2282,2448 Rt 30,Oswego,Mexican,41.718008264,-88.316800884,Arandas Tacos,60543-8974,http://arandastacos.com
2283,2448 Rt 30,Oswego,Mexican,41.718008264,-88.316800884,Arandas Tacos,60543-8974,http://arandastacos.com
2299,30 W 24th St,New York,Mexican,40.742856,-73.991165,Tacombi Flatiron,10010,http://cafeelpresidente.com/
2300,30 W 24th St,New York,Mexican,40.742856,-73.991165,Tacombi Flatiron,10010,http://cafeelpresidente.com/
2301,20 E Main St,Smithtown,Mexican,40.854597345,-73.193266989,Baja Grill,11787,http://www.bajagrillny.com
2302,45 Rincon Dr,Camarillo,Latin American Restaurants,34.164577,-119.04235,Tortillas Grill,93012,http://www.tortillasgrill.com
2303,45 Rincon Dr,Camarillo,Latin American Restaurants,34.164577,-119.04235,Tortillas Grill,93012,http://www.tortillasgrill.com
2304,45 Rincon Dr,Camarillo,Latin American Restaurants,34.164577,-119.04235,Tortillas Grill,93012,http://www.tortillasgrill.com
2305,45 Rincon Dr,Camarillo,Latin American Restaurants,34.164577,-119.04235,Tortillas Grill,93012,http://www.tortillasgrill.com
2306,1920 Jericho Tpke,East Northport,Mexican,40.837666,-73.33221,Baja Grill,11731,http://bajagrillny.com
